Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
1;1;0;0;1;0;0;1;1;1;0;1;0;0;0;6;1;187;274;0,5873544093;5,92;0,47;;;;;;;
2;0;1;0;1;1;0;0;0;1;0;1;1;0;0;6;2;89;281;0,6548257373;5,51;0,60;;;;;;;
3;1;0;0;1;1;1;1;0;0;0;0;0;1;0;6;3;65;34;0,6494708995;4,99;0,52;;;;;;;
4;1;0;0;0;1;1;1;0;0;0;0;0;1;1;6;4;209;80;0,6666666667;6,16;0,72;;;;;;;
5;0;0;1;1;0;1;0;0;0;1;0;0;1;1;6;5;308;153;0,6992983628;6,12;0,67;;;;;;;
6;1;1;1;1;0;0;0;0;1;0;0;0;1;0;6;6;113;188;0,717457114;5,12;0,71;;;;;;;
7;1;1;0;1;0;0;0;0;0;1;0;0;1;1;6;7;290;228;0,7035309793;6,22;0,63;;;;;;;
8;1;0;1;0;1;0;0;1;0;1;0;0;1;0;6;8;338;49;0,6448911223;5,96;0,50;;;;;;;
9;0;1;1;0;1;0;1;0;1;1;0;0;0;0;6;9;335;251;0,6854082999;5,26;0,55;;;;;;;
10;0;1;0;1;0;1;0;1;1;0;0;0;1;0;6;10;184;206;0,6402398401;5,4;0,57;;;;;;;
11;1;1;0;0;1;1;0;0;0;1;0;0;1;0;6;11;86;195;0,6830637174;5,18;0,75;;;;;;;
12;0;0;0;1;1;1;0;0;1;0;1;0;1;0;6;12;127;32;0,687184662;5,28;0,50;;;;;;;
13;1;0;0;1;1;1;0;1;0;0;0;0;1;0;6;13;98;213;0,6657754011;4,98;0,47;;;;;;;
14;1;0;0;1;1;0;0;0;1;1;0;0;1;0;6;14;250;184;0,6934739618;5,26;0,58;;;;;;;
15;0;0;1;0;0;1;1;1;0;1;0;0;1;0;6;15;314;180;0,6271414175;5,91;0,48;;;;;;;
16;1;0;1;1;0;0;0;0;0;1;1;0;1;0;6;16;42;159;0,6539101498;5,47;0,57;;;;;;;
17;1;0;1;1;1;1;0;0;0;0;0;0;1;0;6;17;178;165;0,7190082645;5,13;0,74;;;;;;;
18;1;0;0;1;0;1;0;0;1;1;0;1;0;0;6;18;139;38;0,6676636756;5,25;0,53;;;;;;;
19;1;1;0;0;1;1;0;1;0;0;1;0;0;0;6;19;318;106;0,6181938911;5,71;0,60;;;;;;;
20;1;0;1;0;1;1;0;1;0;0;0;0;0;1;6;20;158;111;0,7097097097;5,95;0,66;;;;;;;
21;1;1;0;0;1;0;1;0;0;0;0;0;1;1;6;21;87;72;0,6538081108;6,03;0,63;;;;;;;
22;0;1;1;0;0;0;0;0;1;1;1;0;0;1;6;22;272;255;0,7333333333;5,45;0,52;;;;;;;
23;0;0;0;1;0;0;1;1;0;1;1;1;0;0;6;23;2;220;0,6245059289;5,7;0,49;;;;;;;
24;0;0;0;0;0;0;1;1;1;1;1;1;0;0;6;24;221;207;0,5520421607;5,54;0,48;;;;;;;
25;1;1;1;0;0;1;1;0;0;0;0;1;0;0;6;25;199;200;0,7109243697;5,09;0,76;;;;;;;
26;1;0;0;1;1;0;1;0;1;0;0;0;0;1;6;26;211;108;0,6774193548;5,88;0,55;;;;;;;
27;1;1;0;0;1;0;1;1;1;0;0;0;0;0;6;27;5;288;0,6302410036;5,44;0,48;;;;;;;
28;0;0;1;1;0;0;0;0;1;0;0;1;1;1;6;28;341;29;0,6479104969;5,76;0,62;;;;;;;
29;1;1;0;0;0;0;0;0;1;1;0;1;1;0;6;29;46;342;0,6776359973;5,25;0,61;;;;;;;
30;0;0;1;0;1;1;0;0;1;0;0;1;1;0;6;30;103;143;0,6919986609;5,26;0,80;;;;;;;
31;0;1;1;1;0;0;1;1;0;0;0;1;0;0;6;31;181;178;0,6448722204;5,81;0,56;;;;;;;
32;0;1;0;1;1;0;1;0;0;0;0;1;1;0;6;32;296;227;0,7266666667;5,3;0,54;;;;;;;
33;0;1;0;0;1;0;1;1;0;0;1;1;0;0;6;33;326;18;0,6375124709;5,75;0,45;;;;;;;
34;1;0;0;0;1;1;0;1;0;1;0;0;1;0;6;34;160;132;0,6776359973;5,59;0,45;;;;;;;
35;1;0;0;0;0;0;1;0;1;0;1;0;1;1;6;35;344;347;0,6776359973;5,49;0,60;;;;;;;
